,FileName,Accuracy
164,Biking-2020_06_19_09_02_27_574-061813141025972-gender_female-age_32-height_165-weight_60-scene_Biking--2020-07-01-19-27-15.csv,0.4567901234567901
361,Downstairs-2020_06_24_15_23_59_253-15701680021-gender_female-age_25-height_160-weight_50-scene_Downstairs--2020-07-01-14-39-21.csv,0.4583333333333333
124,RuningInDoor-2020_06_22_15_05_35_952-062215011368572-gender_male-age_22-height_180-weight_80-scene_RuningInDoor--2020-07-01-19-52-57--2020-08-07-11-37-20.csv,0.4605263157894737
415,EllipticalMachine-2020_06_28_13_32_56_303-062518202246427-gender_female-age_27-height_163-weight_53-scene_EllipticalMachine--2020-07-02-16-46-15.csv,0.46408839779005523
113,RuningInDoor-2020_06_22_15_05_28_020-062215011368572-gender_male-age_22-height_180-weight_80-scene_RuningInDoor--2020-07-01-19-52-46--2020-08-07-11-33-13.csv,0.46488294314381273
378,Biking-2020_06_16_15_58_10_336-061613716337127-gender_female-age_24-height_160-weight_48-scene_Biking--2020-07-01-17-05-11--2020-08-07-09-33-38.csv,0.4984423676012461
47,Downstairs-2020_06_16_10_36_23_528-061617611132042-gender_female-age_24-height_160-weight_60-scene_Downstairs--2020-07-01-17-51-00.csv,0.5
71,RowingMachine-2020_06_24_14_52_28_182-15701680021-gender_female-age_25-height_160-weight_50-scene_RowingMachine--2020-07-01-14-45-25--2020-08-07-11-23-52.csv,0.503030303030303
546,WalkInDoor-2020_06_24_16_27_31_343-062413323128328-gender_male-age_29-height_183-weight_85-scene_WalkInDoor--2020-07-02-16-10-42--2020-08-07-12-29-11.csv,0.5032467532467533
157,WalkOutSide-2020_06_24_16_55_50_002-062417319147085-gender_female-age_30-height_166-weight_46-scene_WalkOutSide--2020-07-02-16-34-18.csv,0.5120643431635389
175,WalkOutSide-2020_06_16_10_18_13_479-061617611132042-gender_female-age_24-height_160-weight_60-scene_WalkOutSide--2020-07-01-18-06-54--2020-08-07-12-33-51.csv,0.5183946488294314
